Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 02/06  17:00:00,47936314.40230999,2093419.9642235218,7343272.080676863,44089997.547170796,189738724.98848236,566921974.1363819,194292363.9323071,0.0,23195878.518078625
 02/06  18:00:00,5872116.136641921,3485429.317209757,5070317.980173272,25792010.268503267,230283350.1514256,521900955.45134145,249238301.5073209,0.0,4828960.588219288
 02/06  19:00:00,80671.57581970695,4535088.459413851,4674008.478046128,22523066.083917752,237088686.22432664,520630611.73730314,257825590.47605106,0.0,1523724.6871241308
 02/06  20:00:00,0.0,663602.7015562484,63568.76010716785,54503.287349171595,45895681.82459217,356160867.0125144,37344591.927639596,0.0,0.0
 02/06  21:00:00,0.0,744780.6196341597,68691.38734386672,110617.66989330869,106584162.57249695,36634114.96677654,82666925.29218921,0.0,0.0
 02/06  22:00:00,0.0,843960.5387192925,74952.05237113306,122254.1846755516,118280299.44551389,29750231.98162641,99696365.11808996,0.0,0.0
 02/06  23:00:00,0.0,941931.0988587255,80786.92102928998,130352.81936277266,126122751.02232471,27369255.51229757,112937069.88745092,0.0,0.0
 02/06  24:00:00,0.0,1039540.1116616931,86329.3903048493,136066.45921961422,131358461.71564001,22590691.67608159,122671697.53580046,0.0,0.0
 02/07  01:00:00,0.0,1316713.4154931083,130460.65826162297,148742.4647733911,134446161.1720821,20252588.976917956,136150451.83296147,0.0,0.0
 02/07  02:00:00,0.0,1632342.1046665881,168641.5816293662,160424.1012455999,135022792.12968713,20302451.536757905,144675786.49191475,0.0,0.0
 02/07  03:00:00,0.0,2694705.996505099,286633.270456704,213545.7051617536,135761658.55453804,20473564.829501398,174980209.29289123,0.0,0.0
 02/07  04:00:00,0.0,3775721.032026081,435275.22475126747,257248.21291236114,136531602.86323327,20665909.29154657,179579019.20690072,0.0,0.0
 02/07  05:00:00,0.0,5446628.607220154,622645.9380620716,310926.20607703755,137101720.73689368,20906957.99802205,178147933.15799412,0.0,0.0
 02/07  06:00:00,0.0,8202236.025460558,915759.5145516699,421008.3247556492,140008117.6097256,21310153.693190254,188631318.66513348,0.0,0.0
 02/07  07:00:00,0.0,11341786.73153287,1188765.1657367987,519691.11793450656,141937248.52490962,30978532.275188096,177380023.81193966,0.0,0.0
 02/07  08:00:00,0.0,3016379.0998467715,335020.96502491453,202387.7839142542,134739271.3935145,491576035.95160425,81757154.35336734,0.0,0.0
 02/07  09:00:00,9087.220128380748,75015091.14929068,8889490.933855226,23779581.271029793,342127225.88373333,526102609.3802242,462852750.7759987,0.0,1516776.9145115155
 02/07  10:00:00,4751131.805170657,13399475.808049327,5649257.935260048,25031633.841308612,214491597.39211687,546452546.0381658,185610025.11166042,0.0,3904963.8342106645
 02/07  11:00:00,39431737.05266969,1843222.9055915072,7004668.617626198,38965371.96497791,186460491.6709792,564150737.8692892,127898561.97406462,0.0,18083736.655186273
 02/07  12:00:00,66016240.65646538,638280.6363957427,8990174.681190656,51860380.17812441,166746988.02275738,585933032.3109598,127998273.35061865,0.0,31020138.41894201
 02/07  13:00:00,58908712.361296065,456682.34434574784,8183487.754634425,49476859.7610299,157925300.38977078,582742824.9673091,135175328.16753566,0.0,28648601.528626163
 02/07  14:00:00,78287699.10056409,321534.1019836888,9217310.20125973,57939799.330455184,148978571.22618854,592239586.9833596,134634383.5059829,0.0,37100558.32900302
 02/07  15:00:00,123354673.7909935,234157.62947778316,12800127.382465392,79032792.10860486,145507951.44673342,614520486.9700406,135583781.7938676,0.0,57755359.755741335
 02/07  16:00:00,145787624.30982032,187122.87862493083,13561823.211976333,89451038.56162006,150474686.59849718,611599786.1171708,143018759.51360834,0.0,67776678.97757773
 02/07  17:00:00,154880763.4314787,167335.82452981223,13650763.70135196,93732472.58552203,160887346.69568285,622871940.7954082,155593106.09965697,0.0,71938015.23090376
 02/07  18:00:00,73705448.74626766,202325.6442441471,7798906.796022363,56219409.29513498,202677392.5868964,555056943.2938223,202074577.77687618,0.0,35294057.702061325
 02/07  19:00:00,45291560.682581134,455116.4592913615,6760056.552390531,43250743.734646276,213451792.26044852,543444337.4623761,219355602.2034011,0.0,22333804.36471824
 02/07  20:00:00,0.0,147216.11828964946,13959.810304783301,25434.78959164067,24118282.656210504,356082189.56495446,23497478.618599996,0.0,0.0
 02/07  21:00:00,0.0,169674.46941493766,15187.08558349176,78105.97073017096,81857272.75085083,36548098.96585303,73523964.62627569,0.0,0.0
 02/07  22:00:00,0.0,207365.77191017434,19526.245713789594,91902.49255121015,96111172.18206014,29664454.48284472,88769794.21965264,0.0,0.0
 02/07  23:00:00,0.0,275787.8233047317,26886.429230466827,103684.71916854693,107525995.1740817,27288686.920304522,102122281.93971148,0.0,0.0
 02/07  24:00:00,0.0,337367.28767733456,31315.167649421033,111163.97917122567,114796943.32647328,22510774.973377775,111001569.34534602,0.0,0.0
