Date/Time,Baseboard:PlantLoopHeatingDemand [J](Hourly),HeatingCoils:PlantLoopHeatingDemand [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 01/01  01:00:00,209615601.89122215,136163664.15077263,0.0,136163664.15077263,9511175.333196025,3709013.3194226297,209615601.89122215,33193574.506501593,342200062.1359546,0.0,0.0
 01/01  02:00:00,211913923.8206731,138318627.79358235,0.0,138318627.79358235,9603057.898922384,3748156.3194742287,211913923.8206731,33324600.07227954,346448083.6316905,0.0,0.0
 01/01  03:00:00,213703928.02808565,140956602.4293005,0.0,140956602.4293005,9725243.360208727,3788990.0442456277,213703928.02808565,33487619.258337293,350838706.01028347,0.0,0.0
 01/01  04:00:00,215274042.6578702,143278160.60049072,0.0,143278160.60049072,9830253.417441454,3825205.7216247274,215274042.6578702,33628844.992949106,354728022.36374104,0.0,0.0
 01/01  05:00:00,215328368.59910315,145199966.06087852,0.0,145199966.06087852,9915334.912487544,3853872.743786678,215328368.59910315,33742593.51015715,356827098.0496036,0.0,0.0
 01/01  06:00:00,214997854.21370938,146128562.61759704,0.0,146128562.61759704,9959555.612638079,3865952.6451318786,214997854.21370938,33798894.11165289,357273539.4441919,0.0,0.0
 01/01  07:00:00,216936356.6408142,148248514.16685623,0.0,148248514.16685623,10051543.919523453,3899180.485496404,216936356.6408142,33924110.25890279,361189247.76142645,0.0,0.0
 01/01  08:00:00,218885130.5529703,150439927.25002545,0.0,150439927.25002545,10145362.69054402,3933705.6352461176,218885130.5529703,34052454.17967307,365390243.3125273,0.0,0.0
 01/01  09:00:00,216160728.31551623,147894117.82833445,0.0,147894117.82833445,10042811.075891938,3889925.5160778607,216160728.31551623,33906122.445852734,360238011.1941623,0.0,0.0
 01/01  10:00:00,205992831.8448026,119644251.37677601,0.0,119644251.37677601,8779633.671472162,3433770.935522403,205992831.8448026,32186790.460877493,321723494.2921439,0.0,0.0
 01/01  11:00:00,191649003.12723866,98490438.87234688,0.0,98490438.87234688,7629653.765250567,3044934.131196286,191649003.12723866,30647973.75032978,286791626.6422057,0.0,0.0
 01/01  12:00:00,176157049.81141907,79732976.87848306,0.0,79732976.87848306,6333694.9102947805,2590545.868580533,176157049.81141907,28897626.632758245,252025885.28137606,0.0,0.0
 01/01  13:00:00,166210371.2641673,64229728.04717304,0.0,64229728.04717304,5319858.33351389,2169757.7770370548,166210371.2641673,27463001.96443388,225032360.23054686,0.0,0.0
 01/01  14:00:00,162953547.63148865,52267140.40571082,0.0,52267140.40571082,4596237.748428561,1821755.5695011488,162953547.63148865,26391379.171812642,209639157.07354712,0.0,0.0
 01/01  15:00:00,168547962.14291012,47086936.74317592,0.0,47086936.74317592,4248288.043012346,1653115.136741431,168547962.14291012,25874789.033636704,210991186.28008345,0.0,0.0
 01/01  16:00:00,182626136.8647293,61165394.636009686,0.0,61165394.636009686,5047305.533162801,2051481.381322558,182626136.8647293,27072172.76836829,247672582.12880945,0.0,0.0
 01/01  17:00:00,196454883.7434749,84929237.54704554,0.0,84929237.54704554,6423870.99561298,2682847.436988894,196454883.7434749,29080104.2864848,281058722.19532293,0.0,0.0
 01/01  18:00:00,204569586.1476152,95591292.15935971,0.0,95591292.15935971,7172595.918917839,2940825.3339907886,204569586.1476152,30086807.106791563,298235430.5285438,0.0,0.0
 01/01  19:00:00,207931336.05818078,104098572.58235413,0.0,104098572.58235413,7855017.538815965,3151038.821378881,207931336.05818078,30979442.21407778,309702365.0390313,0.0,0.0
 01/01  20:00:00,210415832.58196214,110024060.65473264,0.0,110024060.65473264,8231023.64235807,3269897.6142864292,210415832.58196214,31474307.11052743,317283159.3153306,0.0,0.0
 01/01  21:00:00,216436691.91601473,117122532.54763895,0.0,117122532.54763895,8601615.121802678,3399943.3449609177,216436691.91601473,31974944.32064653,329996445.72155035,0.0,0.0
 01/01  22:00:00,224958319.79710475,125786506.84372485,0.0,125786506.84372485,9014422.08918101,3554205.360786089,224958319.79710475,32542013.30385004,346988002.73128617,0.0,0.0
 01/01  23:00:00,218663401.96734527,132743955.60050309,0.0,132743955.60050309,9340542.972618535,3662454.0955928606,218663401.96734527,32976382.92209433,349324931.8565643,0.0,0.0
 01/01  24:00:00,211519884.6192803,135952685.67818052,0.0,135952685.67818052,9498663.180704275,3706641.079866131,211519884.6192803,33178690.114453338,343885478.8147118,0.0,0.0
 01/02  01:00:00,209846790.78895456,135094751.63277063,0.0,135094751.63277063,9472158.782054212,3689628.2295780173,209846790.78895456,33135172.865515172,341276841.05201346,0.0,0.0
 01/02  02:00:00,239831714.991978,149891706.79269755,0.0,149891706.79269755,10091154.008559024,3951652.275360192,239831714.991978,34016192.13780215,383200005.304893,0.0,0.0
 01/02  03:00:00,265649985.84419954,168485766.43922266,0.0,168485766.43922266,10847708.65368113,4261431.104853137,265649985.84419954,35082525.61241719,429769158.27366126,0.0,0.0
 01/02  04:00:00,272338608.942337,181960143.7341962,0.0,181960143.7341962,11378021.322711384,4465257.298267621,272338608.942337,35816664.47486193,449872061.4977992,0.0,0.0
 01/02  05:00:00,240242743.5659974,169844854.46366072,0.0,169844854.46366072,10919494.838161202,4249395.205983878,240242743.5659974,35142275.898028016,408651287.2703413,0.0,0.0
 01/02  06:00:00,252046864.64632052,177878542.45537525,0.0,177878542.45537525,11233807.082119178,4379210.27934342,252046864.64632052,35586403.21534553,422710853.1251891,0.0,0.0
 01/02  07:00:00,278534102.4457079,199663216.96859884,0.0,199663216.96859884,12064221.861178838,4721572.847520874,278534102.4457079,57558837.64181594,473530585.71159214,0.0,0.0
 01/02  08:00:00,267060568.98912495,33862338.08574031,0.0,33862338.08574031,2186825.8003039137,754794.5553901843,267060568.98912495,500613972.0651342,213552116.56876373,0.0,0.0
 01/02  09:00:00,539741004.7902786,468483291.7598337,0.0,468483291.7598337,31644852.63675831,7127141.984671625,539741004.7902786,538839256.3035442,1073543794.7890977,0.0,0.0
 01/02  10:00:00,379146297.09109646,97748257.89675209,782279.8373676162,97748257.89675209,10672899.841298442,10901888.335209522,379146297.09109646,533971224.51637256,437461283.2604341,0.0,977245.7558839254
 01/02  11:00:00,326654344.23892975,37715316.659549594,28096734.03828998,37715316.659549594,8537599.434801027,34319520.46887451,326654344.23892975,557694719.8422962,329061329.67602503,0.0,13261352.91923267
 01/02  12:00:00,280613996.9984308,17046561.01280692,71325831.93216124,17046561.01280692,9001663.871770311,52224239.06584247,280613996.9984308,594468249.9827924,250139425.45087844,0.0,31614366.987664387
 01/02  13:00:00,252883001.54009283,10419482.890768453,77924749.77741729,10419482.890768453,9273806.209886637,57700593.74333737,252883001.54009283,600216746.9984035,235375602.07028714,0.0,37250628.22142869
 01/02  14:00:00,240915979.35845917,7558359.800579427,87815346.65607749,7558359.800579427,10274010.707078489,60812541.253310144,240915979.35845917,604328899.0055681,229560755.9558667,0.0,40409737.59920317
 01/02  15:00:00,239404627.43533987,5446466.307951411,112707498.69963408,5446466.307951411,11436318.712069523,72099719.9031313,239404627.43533987,614383475.6877061,225918886.4768336,0.0,51704209.549538106
 01/02  16:00:00,252389584.74338618,4024499.140914064,105126749.81965446,4024499.140914064,10415416.025247421,69062283.5276013,252389584.74338618,584689405.9746908,238883027.97986025,0.0,48674404.92468297
 01/02  17:00:00,263593558.9646127,3164016.0749464417,92919228.89375468,3164016.0749464417,9029479.294708464,63652389.506149285,263593558.9646127,596298322.3292589,250638126.16041,0.0,43278729.99303974
 01/02  18:00:00,292472330.6244094,2881393.825108132,43681920.741491914,2881393.825108132,6517630.250907179,42026882.61518012,292472330.6244094,546216864.5755272,288858892.8764372,0.0,21672842.834493205
 01/02  19:00:00,298399109.4356007,3408242.3224727195,18688402.7838949,3408242.3224727195,5561133.247332014,30638518.511765655,298399109.4356007,536266913.44121176,304540114.00889856,0.0,10292449.421604712
 01/02  20:00:00,113664903.42422256,2634515.486423548,0.0,2634515.486423548,163497.16788968554,139112.1779828006,113664903.42422256,367848371.25253,110996559.58967729,0.0,0.0
 01/02  21:00:00,168050989.1556659,2747750.952708712,0.0,2747750.952708712,167769.32383759087,189408.52664712022,168050989.1556659,48314950.70162347,158164375.16805586,0.0,0.0
 01/02  22:00:00,176037747.66200876,3156718.9177106195,0.0,3156718.9177106195,210538.74299700762,206607.22319656474,176037747.66200876,29970171.71077329,177578728.22113687,0.0,0.0
 01/02  23:00:00,192759871.42943746,4119932.642551077,0.0,4119932.642551077,293548.71704101097,241663.86781751842,192759871.42943746,27693328.35676403,203130419.7662831,0.0,0.0
 01/02  24:00:00,204484727.84945458,5944249.901816412,0.0,5944249.901816412,455660.557164858,315139.8472912902,204484727.84945458,23139096.23101328,246370907.43965483,0.0,0.0
 01/03  01:00:00,206309450.17470202,7911039.241876066,0.0,7911039.241876066,640387.6594970578,385522.52905172436,206309450.17470202,20999296.042431712,248477766.43285957,0.0,0.0
 01/03  02:00:00,204914929.3858313,9071573.949060846,0.0,9071573.949060846,741966.8324182394,416492.9249473107,204914929.3858313,21131845.61124848,232341972.1754483,0.0,0.0
 01/03  03:00:00,200887808.70042768,10510942.507563839,0.0,10510942.507563839,860128.305240423,463456.9542174536,200887808.70042768,21296971.113340806,230930983.16711128,0.0,0.0
 01/03  04:00:00,200455669.21148413,12723821.750018585,0.0,12723821.750018585,1036136.9540509249,538587.4648247726,200455669.21148413,21548110.272758625,231089317.69499668,0.0,0.0
 01/03  05:00:00,202562760.82580185,15989938.777225502,0.0,15989938.777225502,1338767.6527735847,640352.0095792921,202562760.82580185,21952505.516235806,236203964.79149267,0.0,0.0
 01/03  06:00:00,205639778.37898618,20956414.59108198,0.0,20956414.59108198,1764262.146905002,794804.4185654159,205639778.37898618,22532452.419353347,244933484.76979396,0.0,0.0
 01/03  07:00:00,210225712.09867823,27181450.02137385,0.0,27181450.02137385,2228154.2711934773,964959.8416039821,210225712.09867823,43966157.045913674,246965912.5779221,0.0,0.0
 01/03  08:00:00,202060783.70165622,6607797.570022969,0.0,6607797.570022969,559556.3575537453,312926.71378310514,202060783.70165622,498544834.7807769,124133384.50631392,0.0,0.0
 01/03  09:00:00,423580432.53477985,127065284.62782583,3026.9507137732153,127065284.62782583,11945503.043219043,22538323.00281526,423580432.53477985,534551087.72814846,622464656.0316849,0.0,1366358.4684976316
 01/03  10:00:00,294260832.08130306,33310917.638472963,14624954.255311318,33310917.638472963,7222504.7823879635,28505906.474423394,294260832.08130306,548124847.596676,291243010.5817984,0.0,7650687.466440475
 01/03  11:00:00,269724343.42028403,22928975.484007582,44563121.40847695,22928975.484007582,7661323.684314144,41459041.62449434,269724343.42028403,563957965.2474291,276699747.139763,0.0,20777912.15475295
 01/03  12:00:00,246309241.04032174,16954156.552434728,66445898.33456429,16954156.552434728,8053507.487989578,51861588.955367304,246309241.04032174,593157443.4885365,251729838.756555,0.0,31270203.740216874
 01/03  13:00:00,221719766.8731801,14093687.237036113,55407824.60563131,14093687.237036113,7829984.569717891,47114543.225677215,221719766.8731801,588186874.8405745,232676969.1008849,0.0,26592973.818841755
 01/03  14:00:00,200920438.11626598,11707882.590953188,78554684.2225668,11707882.590953188,8880412.902659073,57249509.07324225,200920438.11626598,599372269.0210809,209518706.27823827,0.0,36730150.33592011
 01/03  15:00:00,191228055.0082218,10656687.755286727,151342295.21574914,10656687.755286727,12042785.710046057,91435622.1669997,191228055.0082218,634325844.9495511,199714704.7661757,0.0,70105973.3453512
 01/03  16:00:00,195569301.8488871,11133550.571920639,174556445.67587417,11133550.571920639,13166721.17309913,102579797.74883778,195569301.8488871,620958225.343779,205771945.82295358,0.0,80825765.06544952
 01/03  17:00:00,199846938.22190544,12205397.80223606,185007939.35122222,12205397.80223606,14084173.623760989,107324816.11431643,199846938.22190544,645025443.2664788,211998655.5270189,0.0,85446687.89079036
