Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 12/19  14:00:00,38835.657442034986,11970797.407134335,55835786.71864003,23472570.905057546,168696665.04879367,604390835.0753425,167046858.52205265,0.0,1595646.9172913432
 12/19  15:00:00,67649.86636369019,7196911.992854124,55831169.355472915,23472032.911480088,170635116.05905658,601990769.7459238,168110676.36171797,0.0,1600476.6678258108
 12/19  16:00:00,74428.8196021582,8543233.55022828,55828617.19494435,23479884.00540507,180422482.15817073,587895425.5439241,182586184.7831836,0.0,1596731.8880150183
 12/19  17:00:00,52367.379595681276,11108732.214926183,55827380.59066389,23488654.211650465,186050884.30726182,594804739.3108487,193323929.93143943,0.0,1596280.1989944086
 12/19  18:00:00,7685.77592792535,18083297.681265395,55826597.687680885,6071615.213037551,218540913.36557984,552936840.1033837,235871128.91996327,0.0,397706.1632245225
 12/19  19:00:00,0.0,30584272.37645579,55826237.06806719,278307.9730815355,225913472.95607695,549538082.2164881,258077221.6606156,0.0,0.0
 12/19  20:00:00,0.0,257396.03142275487,25995.656042345,36478.247669257566,33476676.4902018,356105268.8687697,33485984.90928763,0.0,0.0
 12/19  21:00:00,0.0,307709.8869097836,29585.331476259562,84380.04287406534,85446283.38705121,36568771.28388969,78673255.64011765,0.0,0.0
 12/19  22:00:00,0.0,365893.3375845321,33372.04134927158,92998.01165965907,94083843.80493808,29679395.797588658,88355524.0682424,0.0,0.0
 12/19  23:00:00,0.0,425273.0545295895,36807.275363703055,100413.62753298649,101458604.98600152,27295336.67480219,96866839.8603834,0.0,0.0
 12/19  24:00:00,0.0,478315.7360805941,39659.88547288673,104703.8654590863,105516615.8586349,22512659.5774891,102173023.22629036,0.0,0.0
 12/20  01:00:00,0.0,523348.88150735386,41954.26660596236,106484.49286953964,106934088.23921409,20121824.61335844,104733139.39357716,0.0,0.0
 12/20  02:00:00,0.0,651989.0039230715,65395.316959874915,114506.70987854063,109872295.14147718,20153287.880721357,112789544.12556069,0.0,0.0
 12/20  03:00:00,0.0,870842.922355945,97870.15033258103,125905.73021889798,114206540.3481562,20197161.73443442,121655657.03580911,0.0,0.0
 12/20  04:00:00,0.0,1900917.188867469,211998.6456707371,181082.212159101,119706199.66987258,20366466.711712778,162725458.249246,0.0,0.0
 12/20  05:00:00,0.0,2714816.9444156187,274881.1260491933,211758.8718370158,123046634.32887845,20460025.85176915,163628894.06509933,0.0,0.0
 12/20  06:00:00,0.0,3262740.818740963,312346.44088931545,228378.89753241674,125382187.15529928,20514111.19230467,154922919.20083353,0.0,0.0
