Date/Time,Baseboard:PlantLoopHeatingDemand [J](Hourly),HeatingCoils:PlantLoopHeatingDemand [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 01/01  01:00:00,209615062.27792433,133727140.27064812,0.0,133727140.27064812,11947407.997915607,2982530.14190243,209615062.27792433,34903323.99370098,340318144.49341786,0.0,0.0
 01/01  02:00:00,211914009.94375858,135857597.66434905,0.0,135857597.66434905,12064900.869002555,3012726.4788237987,211914009.94375858,35051013.201709285,344577051.4095662,0.0,0.0
 01/01  03:00:00,213704028.29675367,138477253.41334802,0.0,138477253.41334802,12204096.466947444,3048258.5584011814,213704028.29675367,35225740.87923156,348949553.5279261,0.0,0.0
 01/01  04:00:00,215274210.13489252,140782786.60246727,0.0,140782786.60246727,12325731.97975241,3079160.4060907643,215274210.13489252,35378278.239726104,352825022.0473005,0.0,0.0
 01/01  05:00:00,215328841.46280995,142690009.74407622,0.0,142690009.74407622,12424865.502790455,3103193.0795279797,215328841.46280995,35501444.43620136,354934393.4146434,0.0,0.0
 01/01  06:00:00,214997285.3275506,143614873.5598456,0.0,143614873.5598456,12472072.528808484,3114492.3112983024,214997285.3275506,35559950.69398971,355373957.8732267,0.0,0.0
 01/01  07:00:00,216937759.12992656,145719224.85217083,0.0,145719224.85217083,12580281.017182497,3142417.1093960563,216937759.12992656,35696083.980461486,359226216.4482432,0.0,0.0
 01/01  08:00:00,218883981.30934876,147892788.86876714,0.0,147892788.86876714,12691720.531300358,3171041.580767288,218883981.30934876,35836147.965950586,363442354.1364173,0.0,0.0
 01/01  09:00:00,216160833.07597825,145375376.34320423,0.0,145375376.34320423,12560051.947901923,3137258.3448159415,216160833.07597825,35670696.14660079,358359886.2991813,0.0,0.0
 01/01  10:00:00,205993233.26365548,117374485.51244336,0.0,117374485.51244336,11049074.601072986,2763897.9229725017,205993233.26365548,33786358.37792841,319659239.48459625,0.0,0.0
 01/01  11:00:00,191648799.92852524,96385562.76028565,0.0,96385562.76028565,9735888.276901236,2428843.6916942135,191648799.92852524,32138117.822478376,284725258.9851052,0.0,0.0
 01/01  12:00:00,176157299.74664003,77853726.95444098,0.0,77853726.95444098,8211822.73200172,2045652.9915557266,176157299.74664003,30230861.57744038,249996244.75819033,0.0,0.0
 01/01  13:00:00,166210246.10926807,62670459.53690075,0.0,62670459.53690075,6879288.003107272,1720150.556170111,166210246.10926807,28572824.41316031,223498363.3744768,0.0,0.0
 01/01  14:00:00,162953556.54626605,51033881.29062706,0.0,51033881.29062706,5829058.209820455,1469449.6502210118,162953556.54626605,27271893.713924393,208556269.04790014,0.0,0.0
 01/01  15:00:00,168548170.3982223,46031045.416170165,0.0,46031045.416170165,5305189.281766986,1351655.1569827457,168548170.3982223,26630230.29263267,209661313.51017314,0.0,0.0
 01/01  16:00:00,182626025.07017085,59743067.24265558,0.0,59743067.24265558,6468146.663224181,1638767.15855378,182626025.07017085,28080299.675660886,246201830.36601323,0.0,0.0
 01/01  17:00:00,196455167.41233057,82960112.52199574,0.0,82960112.52199574,8389397.519029072,2105851.321565409,196455167.41233057,30468634.69447741,280182345.0076878,0.0,0.0
 01/01  18:00:00,204569390.4577781,93502374.22895545,0.0,93502374.22895545,9260781.63209675,2325453.4527221206,204569390.4577781,31559620.9387018,297257339.6863948,0.0,0.0
 01/01  19:00:00,207931675.28283095,101934994.93518274,0.0,101934994.93518274,10017177.126428708,2513029.742226575,207931675.28283095,32503592.722538214,308529603.7529838,0.0,0.0
 01/01  20:00:00,210415879.6759282,107817682.05034807,0.0,107817682.05034807,10437159.927550958,2618215.3020928386,210415879.6759282,33028761.08352672,315728476.6015656,0.0,0.0
 01/01  21:00:00,216436453.21450007,114852148.07152182,0.0,114852148.07152182,10869231.246330421,2728535.3568908502,216436453.21450007,33571152.457104206,328291021.0152173,0.0,0.0
 01/01  22:00:00,224958718.2266115,123436357.94260699,0.0,123436357.94260699,11364466.664307084,2855854.050369588,224958718.2266115,34193706.5685596,345151476.3569381,0.0,0.0
