Date/Time,Baseboard:PlantLoopHeatingDemand [J](Hourly),HeatingCoils:PlantLoopHeatingDemand [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 01/02  06:00:00,252046864.6328593,177878542.45862138,0.0,177878542.45862138,11233807.082263311,4379210.279395347,252046864.6328593,35586403.21554159,422710853.14427775,0.0,0.0
 01/02  07:00:00,278534102.4316737,199663216.9718903,0.0,199663216.9718903,12064221.861321708,4721572.847572127,278534102.4316737,57558837.64201006,473530585.7335126,0.0,0.0
 01/02  08:00:00,267060568.97560072,33862338.086797014,0.0,33862338.086797014,2186825.80037028,754794.555406885,267060568.97560072,500613972.06521714,213552116.57653055,0.0,0.0
 01/02  09:00:00,539745972.2003495,477584792.3336421,0.0,477584792.3336421,35354125.28795927,7138925.656024793,539745972.2003495,542560312.6260984,1082168554.099133,0.0,0.0
 01/02  10:00:00,379149955.02893305,104817446.8687947,292259.35786294535,104817446.8687947,14346848.459245244,8332823.851586872,379149955.02893305,535076108.6506971,444257913.67184,0.0,613299.9623367342
 01/02  11:00:00,326749567.0383496,43228488.550637096,24428767.23026345,43228488.550637096,12111210.668627715,32794667.555846564,326749567.0383496,559743478.1630951,334575530.5788412,0.0,11730221.504454719
 01/02  12:00:00,280707918.9646319,21206447.444310274,66552798.371279076,21206447.444310274,12504716.755438183,50271698.89051666,280707918.9646319,596018762.6911345,254544972.6793946,0.0,29655182.161669545
 01/02  13:00:00,253032380.1120329,13824534.8191112,74194646.81852171,13824534.8191112,12444807.143125802,56264615.753725305,253032380.1120329,601951769.9420309,239276956.8639894,0.0,35791160.40709001
 01/02  14:00:00,241118360.4569987,10841819.534546098,83061278.15079503,10841819.534546098,13697441.99066766,58914982.89683161,241118360.4569987,605854771.932679,233359467.51086372,0.0,38506248.10528036
 01/02  15:00:00,239590880.3247247,8154907.709829709,106921910.4933062,8154907.709829709,14916445.616942843,69163461.84418765,239590880.3247247,614927344.5336362,229010138.42477068,0.0,48771150.80240358
 01/02  16:00:00,252571388.1228267,6752645.900845492,98883929.53036547,6752645.900845492,13818456.503725957,66466572.033118576,252571388.1228267,585496734.958687,242096974.26137474,0.0,46079255.544083476
 01/02  17:00:00,263810687.06706035,6073579.338568174,87171719.09596118,6073579.338568174,12105626.743349683,61415146.911282375,263810687.06706035,597137227.1830335,254072822.31680006,0.0,41021550.81360508
 01/02  18:00:00,292713543.32983994,6865774.467165481,38176218.815336324,6865774.467165481,10046142.254081536,39464971.309398785,292713543.32983994,547183465.2729204,293719593.14956415,0.0,19109226.491650347
 01/02  19:00:00,298591053.4115117,8007598.718352787,15333522.803480519,8007598.718352787,9120284.468098272,29080558.75769707,298591053.4115117,538268104.9079095,309872143.8224609,0.0,8727964.043248687
 01/02  20:00:00,113892267.08275369,2640121.989499471,0.0,2640121.989499471,163714.3508326321,139388.26772171675,113892267.08275369,367848864.5252118,110397920.38180023,0.0,0.0
 01/02  21:00:00,168286882.464967,2754147.2428622404,0.0,2754147.2428622404,168013.1043387281,189694.3298303161,168286882.464967,48315480.28530781,157747161.04817086,0.0,0.0
 01/02  22:00:00,176225506.57492608,3187662.717397299,0.0,3187662.717397299,212908.66161961158,207332.3377600554,176225506.57492608,29973266.743959382,177722729.55190557,0.0,0.0
 01/02  23:00:00,192921941.94640708,4141806.2196839466,0.0,4141806.2196839466,294720.836451382,242093.5903562647,192921941.94640708,27694930.198713157,203053143.62315482,0.0,0.0
 01/02  24:00:00,204656087.95707124,6067685.41477746,0.0,6067685.41477746,462126.0907229942,317984.70971556613,204656087.95707124,23148406.626995686,247524133.92777053,0.0,0.0
 01/03  01:00:00,206474618.87509003,7989603.204410775,0.0,7989603.204410775,645732.5947913703,387486.9667983637,206474618.87509003,21006605.415472664,248359045.5713275,0.0,0.0
 01/03  02:00:00,205039119.93304613,9140105.61192749,0.0,9140105.61192749,745860.3413654945,417937.35225573473,205039119.93304613,21137183.54750416,232163822.9183568,0.0,0.0
 01/03  03:00:00,201014562.81901914,10654641.816472169,0.0,10654641.816472169,873311.230595554,469206.2337253093,201014562.81901914,21315903.318203796,232222296.0926199,0.0,0.0
 01/03  04:00:00,200578742.81245902,13004481.35825848,0.0,13004481.35825848,1070426.927683228,550212.1800909052,200578742.81245902,21594024.961657062,231877546.4947055,0.0,0.0
 01/03  05:00:00,202683845.11391652,16255105.303380031,0.0,16255105.303380031,1359602.7116341395,647307.3846758102,202683845.11391652,21980295.950192884,235688483.22415265,0.0,0.0
 01/03  06:00:00,205723482.6818815,21360613.42256607,0.0,21360613.42256607,1801805.1150765386,808772.2886286635,205723482.6818815,22583963.25758813,245643995.31800053,0.0,0.0
 01/03  07:00:00,210309457.77312312,27560934.857892577,0.0,27560934.857892577,2254154.2643990535,974294.0510695251,210309457.77312312,44001491.24858479,246728825.3204832,0.0,0.0
 01/03  08:00:00,202204527.83929405,6648257.542626428,0.0,6648257.542626428,562126.3837937712,313720.0419444062,202204527.83929405,498548198.1351782,124019136.10702197,0.0,0.0
 01/03  09:00:00,423943464.5900956,133754555.24818406,3875.774116392936,133754555.24818406,15706248.40187027,20301619.659545377,423943464.5900956,536075129.74353004,628807226.7292023,0.0,1213110.8310743514
 01/03  10:00:00,294366914.74758613,37614771.0179818,10718417.89711874,37614771.0179818,10780209.309885966,26855758.89280117,294366914.74758613,550032404.542552,295740844.5397928,0.0,5992882.276345487
 01/03  11:00:00,269975218.4330169,26096896.10226348,37353606.52000642,26096896.10226348,11185376.119548172,38298451.95006812,269975218.4330169,564321428.008237,280154303.97001684,0.0,17615788.10512864
 01/03  12:00:00,246551066.46068066,19249585.633843545,57926934.69138876,19249585.633843545,11523391.069830216,47909304.92245535,246551066.46068066,592675043.0374652,254306821.9729158,0.0,27322522.930261187
 01/03  13:00:00,221992214.35877335,15841092.43771109,46257352.63961998,15841092.43771109,11176836.932943089,43029851.288335025,221992214.35877335,587449035.2664578,234750083.42332703,0.0,22517175.440269478
 01/03  14:00:00,201223698.05478206,12797008.920084124,67303628.69272238,12797008.920084124,12171565.14440022,52187487.68209201,201223698.05478206,597601399.8716719,211004090.34356767,0.0,31686585.60345317
 01/03  15:00:00,191504101.12569612,10994020.554116778,133177784.14295869,10994020.554116778,15009614.260162573,82784052.90879768,191504101.12569612,628641104.2414658,200490581.13490027,0.0,61744697.59779653
 01/03  16:00:00,195818629.92659417,11259125.672762906,155620566.8904011,11259125.672762906,16071966.753238402,93654264.50876802,195818629.92659417,614937937.6838487,206194492.72474495,0.0,72204524.02020046
 01/03  17:00:00,200097536.03796425,12327602.40389729,166057861.53879383,12327602.40389729,16796711.502864644,98411195.26527,200097536.03796425,638824360.2965361,212383226.16340557,0.0,76814426.64250454
 01/03  18:00:00,228269433.09787333,12993834.376361009,94554280.25843243,12993834.376361009,13857201.190811072,65288683.336053476,228269433.09787333,576818236.2363045,231843240.48809874,0.0,44637137.1005745
 01/03  19:00:00,228834462.69313818,13557262.76768624,63832956.42510463,13557262.76768624,12681160.177353,50932230.336506456,228834462.69313818,563680652.1959736,238092167.607023,0.0,30378862.341744713
 01/03  20:00:00,34424895.95797365,1324938.558242951,0.0,1324938.558242951,105475.29982424629,54538.287743499204,34424895.95797365,367705775.4942252,26972791.127975572,0.0,0.0
 01/03  21:00:00,79664244.40419096,1394557.5039865775,0.0,1394557.5039865775,108937.03822035021,96542.5537804175,79664244.40419096,48163252.44313953,54487924.60547526,0.0,0.0
